user_id,company_name,company_size,plan_type,subscription_status,signup_date,churn_date,monthly_revenue,payment_method
4653,Hughes-Smith,small,Basic,Active,27-06-2022,,1319,Credit
9575,Cruz Group,large,Basic,Active,07-08-2008,,1297,Debit
980,"Cunningham, Dennis and Walters",small,Pro,Active,10-03-2013,,2593,Paypal
4753,Chan PLC,large,Basic,Churned,12-11-2006,29-09-2019,1756,Debit
6558,Johnson-Bell,medium,Enterprise,Active,06-10-2011,,1028,Debit
8971,Garcia-Thompson,medium,Enterprise,Churned,10-10-2007,28-04-2010,4086,Paypal
8206,Davis-Dixon,small,Basic,Churned,03-05-2020,06-05-2025,4461,Paypal
7160,"Miller, Gibson and Escobar",large,Enterprise,Churned,05-04-2019,24-02-2025,2542,Paypal
5331,"Lee, Jackson and Potter",small,Enterprise,Active,04-04-2011,,4620,Paypal
9234,Jones Group,large,Pro,Active,15-10-2008,,3576,Debit
8483,Lin Inc,small,Basic,Active,25-05-2006,,1702,Credit
3687,Hernandez-Rogers,small,Pro,Active,28-02-2020,,1799,Paypal
2680,Maxwell-Ramirez,medium,Enterprise,Active,10-04-2016,,1217,Credit
1384,"Grimes, Reese and Deleon",small,Pro,Churned,17-06-2007,02-08-2009,1545,Credit
5427,Sullivan Ltd,large,Basic,Active,01-07-2020,,1328,Debit
5628,"Torres, Diaz and Scott",medium,Basic,Active,30-08-2009,,1307,Debit
5630,"Moore, Miller and Smith",large,Basic,Active,16-02-2018,,2996,Debit
4944,"Wolf, Pierce and Miller",large,Enterprise,Active,21-04-2024,,4024,Debit
6932,"Barnes, Keller and Harrington",small,Basic,Active,02-12-2011,,4801,Credit
5924,"Thomas, Brown and Miller",small,Pro,Churned,26-09-2009,03-05-2015,1895,Credit
695,"Norris, Bruce and Cabrera",large,Enterprise,Active,07-06-2016,,4230,Credit
434,"Sanders, Johnson and Copeland",small,Enterprise,Active,16-09-2006,,852,Debit
3942,Carlson Inc,small,Enterprise,Churned,31-07-2014,06-05-2019,917,Debit
7575,"Hubbard, Cook and Scott",large,Enterprise,Churned,09-12-2016,24-02-2018,4841,Paypal
6797,Hamilton-Moreno,large,Pro,Churned,09-02-2026,09-02-2026,3329,Debit
367,Wilson Inc,large,Enterprise,Churned,17-02-2015,06-10-2017,3918,Paypal
3876,"Lowery, Jackson and Banks",large,Pro,Churned,14-09-2012,13-04-2021,1554,Credit
3947,Smith-Oneal,medium,Pro,Churned,11-09-2020,07-03-2025,4746,Credit
3280,Gallagher-Marks,small,Pro,Churned,28-10-2023,20-08-2024,1515,Credit
6258,Gomez-Rodriguez,medium,Basic,Churned,20-03-2014,19-02-2024,2583,Debit
7457,Clarke LLC,small,Basic,Active,25-03-2011,,4774,Credit
7960,"Moore, Colon and Fowler",large,Pro,Active,02-11-2010,,4331,Credit
2552,Schaefer-Parker,medium,Pro,Churned,08-08-2024,02-08-2025,4749,Debit
8304,Porter-Matthews,small,Basic,Active,08-01-2020,,3019,Paypal
7357,"Thomas, Hopkins and Turner",large,Enterprise,Churned,07-11-2021,08-09-2023,825,Paypal
9928,Peterson-Dickson,large,Basic,Churned,02-12-2019,15-07-2022,2661,Credit
3647,Jones-Baldwin,small,Enterprise,Active,24-09-2011,,2277,Paypal
5071,"Brown, Cox and Logan",small,Pro,Churned,19-06-2023,27-02-2025,2113,Paypal
3305,"Thomas, Lewis and Fisher",medium,Basic,Active,03-07-2010,,644,Credit
8462,Copeland-Wilson,medium,Enterprise,Churned,09-04-2021,17-05-2023,3916,Paypal
9863,Davis Group,small,Pro,Churned,21-11-2006,09-11-2007,301,Credit
8473,Gray and Sons,medium,Basic,Churned,08-08-2025,22-08-2025,2186,Debit
2678,Huynh-Michael,medium,Basic,Churned,30-12-2020,27-04-2023,3511,Paypal
3467,Stephenson Inc,small,Enterprise,Active,21-10-2019,,1568,Credit
3468,Miller-Chavez,medium,Basic,Active,30-06-2015,,3966,Credit
3837,Lewis-Henry,large,Enterprise,Active,20-10-2017,,3562,Paypal
7591,Anthony-Patterson,large,Basic,Active,02-03-2014,,2149,Credit
7937,"Fox, Woods and Johnson",large,Enterprise,Churned,25-11-2007,26-03-2019,2841,Paypal
4959,Walls-Parker,medium,Basic,Active,25-10-2017,,4674,Credit
6101,"Hodges, Maynard and Riddle",medium,Enterprise,Churned,01-03-2011,01-05-2011,2327,Credit
9330,Bell-Chan,small,Pro,Churned,07-11-2015,01-11-2017,3024,Paypal
9290,"Glenn, Mullins and Andrews",small,Enterprise,Churned,01-02-2010,15-05-2012,4171,Debit
5740,Jones Ltd,medium,Basic,Churned,03-01-2007,16-03-2007,1308,Paypal
5323,Campbell-Mcguire,small,Basic,Churned,14-11-2024,18-08-2025,2329,Debit
9246,"Taylor, Mitchell and Morales",medium,Enterprise,Churned,21-05-2010,08-08-2020,1666,Credit
3092,"Hamilton, Walker and Adams",medium,Enterprise,Active,21-12-2020,,2371,Debit
1420,"Werner, Anderson and Melendez",medium,Pro,Active,23-06-2018,,958,Debit
9642,Jimenez-Lang,large,Enterprise,Churned,15-10-2009,02-03-2011,1107,Credit
2791,Cole PLC,large,Basic,Active,21-07-2011,,3150,Credit
1567,Beard-Trevino,small,Pro,Churned,25-09-2017,20-05-2023,2256,Credit
3192,Noble-Carpenter,large,Basic,Churned,18-04-2009,17-01-2010,4699,Paypal
7163,Ortiz-Edwards,large,Pro,Churned,02-01-2008,02-12-2016,925,Paypal
9405,"Rodriguez, Martinez and Tran",large,Basic,Churned,23-05-2011,01-12-2013,152,Paypal
7744,Perry Inc,medium,Basic,Active,06-05-2012,,182,Credit
3508,Lawrence PLC,large,Pro,Churned,13-12-2016,07-11-2019,854,Credit
1287,Oneal-Maxwell,medium,Pro,Churned,05-04-2009,09-09-2022,4267,Debit
3922,Stewart-Glenn,large,Enterprise,Active,31-10-2020,,478,Debit
2745,David-Woods,small,Enterprise,Churned,24-07-2007,31-07-2022,2576,Debit
8947,Fox PLC,medium,Pro,Churned,11-05-2012,31-05-2024,2500,Paypal
5679,Scott-Hanson,large,Enterprise,Churned,27-06-2021,30-04-2024,843,Credit
7721,Dixon Ltd,medium,Basic,Active,21-04-2007,,4100,Credit
6919,Taylor-Watson,medium,Basic,Active,25-07-2015,,1928,Credit
5752,"Anderson, Miller and Terry",small,Basic,Churned,01-06-2019,14-08-2019,102,Debit
3621,Peters and Sons,large,Basic,Active,01-06-2016,,863,Credit
3475,Fox-Sims,small,Pro,Active,14-07-2023,,4779,Debit
8557,Donovan-Jordan,medium,Enterprise,Active,03-04-2012,,194,Debit
5519,"Snow, Thomas and Carlson",large,Basic,Active,23-12-2012,,107,Credit
3465,Stein PLC,large,Pro,Churned,09-09-2018,23-01-2020,2090,Credit
6347,"Martinez, May and Cameron",small,Pro,Churned,11-06-2011,22-07-2011,4420,Credit
368,Peters-Ellison,large,Enterprise,Active,04-12-2006,,437,Credit
1308,"Munoz, Armstrong and Johnson",small,Enterprise,Churned,04-03-2006,12-01-2010,272,Credit
4381,Mitchell-Walters,medium,Enterprise,Active,01-11-2014,,801,Debit
5125,"Cruz, Cook and Rivera",large,Enterprise,Churned,19-11-2007,07-11-2019,3738,Debit
4317,Ortiz-Taylor,medium,Pro,Churned,24-04-2010,07-12-2010,1229,Debit
3213,"Flores, Alexander and Carter",large,Pro,Active,23-09-2017,,3932,Debit
1878,Velasquez-Beck,large,Enterprise,Churned,24-09-2006,14-05-2008,2253,Debit
2048,"Bell, Sharp and Ramos",small,Enterprise,Churned,03-12-2016,26-04-2019,4707,Paypal
7690,Chandler-Norris,medium,Basic,Churned,16-11-2019,11-01-2023,4326,Paypal
3683,Barton Ltd,medium,Basic,Active,09-09-2006,,4634,Debit
7617,Johnston-Vazquez,medium,Enterprise,Churned,01-12-2010,12-05-2016,1178,Debit
9007,"Gillespie, Williams and Hartman",large,Enterprise,Churned,23-03-2017,09-08-2024,3125,Paypal
9713,"Ramirez, Williams and Taylor",large,Enterprise,Active,20-01-2016,,2493,Paypal
5295,Gordon Group,large,Pro,Churned,05-08-2013,02-01-2019,4350,Debit
6426,Sandoval-Hebert,small,Enterprise,Churned,18-01-2014,28-01-2020,3177,Credit
9171,Jackson LLC,medium,Enterprise,Churned,23-04-2012,14-05-2014,49,Debit
5470,"Miller, Taylor and Silva",medium,Pro,Active,16-07-2015,,2497,Debit
4567,Rowe-Martinez,medium,Enterprise,Active,15-03-2017,,859,Paypal
1603,Bailey-Bauer,large,Enterprise,Churned,25-02-2025,12-05-2025,4841,Paypal
2633,Kelley-West,large,Enterprise,Active,23-09-2006,,1408,Paypal
9985,Evans-Blevins,small,Basic,Churned,04-05-2015,17-01-2022,3330,Credit
2825,Walker Inc,large,Pro,Churned,03-08-2008,18-11-2017,501,Paypal
9334,Morales-Pham,small,Basic,Active,29-11-2018,,2985,Paypal
890,"Mills, Ray and Rodriguez",large,Enterprise,Active,08-06-2008,,68,Debit
4997,"Nash, Barrett and Martin",large,Enterprise,Active,28-12-2019,,4394,Debit
2727,Trevino Group,large,Basic,Active,02-01-2017,,923,Credit
5059,"Perez, Boyd and James",small,Basic,Active,25-09-2019,,298,Paypal
9011,Ortiz-Martinez,small,Basic,Active,15-01-2011,,4402,Debit
3071,Bailey-Mercer,medium,Basic,Churned,28-03-2013,16-05-2022,1518,Debit
3706,Mitchell Ltd,large,Pro,Active,03-10-2025,,4801,Paypal
2359,Evans-Jefferson,small,Enterprise,Active,01-03-2009,,4438,Credit
4257,Meyer and Sons,medium,Enterprise,Active,08-11-2009,,2348,Paypal
6400,Flowers-Young,large,Pro,Active,23-06-2024,,4696,Paypal
7037,Fleming PLC,medium,Enterprise,Active,06-10-2014,,2909,Credit
4869,Jimenez LLC,medium,Basic,Active,22-09-2014,,2659,Debit
4954,Harrell PLC,small,Pro,Churned,16-09-2008,15-04-2011,4124,Debit
5776,"Carlson, Hughes and Walker",large,Pro,Churned,02-01-2011,08-03-2016,1056,Paypal
7790,"Ramos, Parker and Parker",large,Pro,Active,05-09-2013,,481,Debit
4538,"Martin, Ray and Hurley",large,Basic,Active,09-01-2013,,3341,Credit
8363,Morgan PLC,small,Basic,Churned,30-06-2012,23-12-2013,1575,Debit
2602,Cook-Watts,large,Basic,Churned,25-06-2010,01-03-2022,3538,Paypal
2794,Lopez Inc,medium,Enterprise,Active,02-08-2011,,2608,Debit
1667,Meza-Moore,medium,Enterprise,Active,22-01-2023,,126,Paypal
1804,Moreno-Gomez,large,Pro,Churned,04-04-2023,11-05-2024,1597,Paypal
2068,"Schultz, Bell and Meyer",medium,Pro,Churned,07-08-2006,22-08-2007,3008,Credit
1785,"Warner, Moses and Mitchell",medium,Basic,Active,11-09-2012,,311,Paypal
5193,Gill and Sons,large,Basic,Churned,20-12-2024,24-01-2025,3298,Credit
3623,"Walton, Mcgee and Riley",small,Pro,Churned,22-06-2020,28-08-2020,4612,Debit
6659,Hall-Hernandez,medium,Basic,Active,27-11-2018,,4857,Credit
3495,"Walters, Salas and Jennings",large,Pro,Active,30-11-2018,,2409,Debit
2177,Schultz-Taylor,small,Basic,Churned,06-08-2008,21-03-2016,304,Debit
8217,"Chambers, Young and Yang",small,Pro,Active,15-03-2020,,1708,Paypal
3681,Smith-Rogers,small,Enterprise,Churned,16-12-2014,13-11-2019,2548,Debit
7522,Johnson-Anderson,medium,Pro,Churned,23-03-2017,14-04-2024,4151,Debit
1726,"Williams, Valentine and Hartman",large,Enterprise,Churned,15-02-2022,11-06-2022,4809,Debit
2637,Hughes Ltd,large,Basic,Churned,28-11-2025,28-11-2025,824,Credit
3016,Snyder Ltd,small,Pro,Active,29-05-2019,,544,Debit
5676,David PLC,small,Enterprise,Active,09-03-2023,,4486,Debit
9233,Best Ltd,medium,Basic,Churned,06-12-2009,02-11-2023,4495,Credit
5860,Richardson and Sons,large,Pro,Active,26-10-2015,,4001,Credit
9124,Griffin-Miller,medium,Pro,Active,12-10-2007,,4763,Debit
8736,"Melendez, Thomas and Bryant",medium,Basic,Active,25-04-2014,,4242,Credit
6101,Smith Ltd,medium,Pro,Active,23-12-2014,,3425,Paypal
6357,Phillips Ltd,large,Enterprise,Churned,25-02-2008,17-06-2012,3326,Credit
3210,Robinson LLC,small,Pro,Active,09-08-2020,,3038,Credit
4118,Garcia-Nelson,medium,Basic,Active,26-05-2024,,776,Credit
1145,"Chaney, Hampton and Gay",medium,Basic,Active,10-03-2018,,968,Credit
7634,Welch Group,small,Enterprise,Churned,14-06-2021,11-02-2024,1053,Debit
191,"Johnson, Campbell and Tate",medium,Pro,Churned,17-05-2014,04-08-2019,3618,Debit
9906,"Martinez, Roach and Conley",medium,Pro,Churned,31-10-2017,01-08-2023,2573,Debit
2478,"Baker, Nguyen and Wolf",large,Pro,Active,20-01-2017,,4658,Credit
1389,Odom-Estrada,large,Basic,Churned,20-12-2015,10-10-2023,3141,Debit
6421,Matthews and Sons,large,Basic,Active,06-06-2013,,1241,Credit
3579,"Harmon, Bridges and Jones",small,Enterprise,Churned,03-01-2016,20-07-2020,646,Credit
6930,"Grant, Reed and Roman",small,Enterprise,Active,04-03-2012,,2859,Paypal
5162,Barry LLC,medium,Basic,Churned,30-09-2013,07-03-2025,126,Credit
1506,Rasmussen Group,large,Basic,Churned,13-11-2021,18-12-2023,2242,Debit
229,Charles-Garcia,medium,Pro,Active,12-01-2010,,1316,Paypal
6488,Carroll and Sons,small,Basic,Active,18-12-2011,,1607,Paypal
2578,Cortez Ltd,large,Pro,Churned,02-08-2021,08-06-2025,2942,Paypal
9875,Price-Jones,large,Pro,Churned,14-10-2025,14-01-2026,596,Debit
749,Cole Group,large,Pro,Active,28-11-2009,,4052,Debit
9743,Wiggins-Malone,medium,Basic,Churned,06-02-2017,17-03-2020,1959,Credit
1527,"Duran, Rodriguez and Berger",large,Pro,Active,10-09-2008,,2152,Credit
8002,"Kennedy, Smith and Hatfield",medium,Enterprise,Churned,08-08-2009,23-09-2009,2855,Debit
1596,Hodges-Flores,medium,Enterprise,Active,22-01-2016,,2110,Paypal
8779,Burke-Andersen,medium,Basic,Churned,12-11-2011,29-06-2025,2782,Paypal
7308,Griffith Group,small,Enterprise,Churned,12-03-2009,31-05-2020,3080,Debit
7110,Jordan PLC,medium,Enterprise,Active,13-01-2018,,1343,Credit
3823,Diaz-Rose,large,Basic,Active,20-06-2020,,4371,Debit
3991,Carlson-Williams,small,Basic,Active,22-10-2007,,3478,Paypal
4560,Lewis-Beck,medium,Basic,Active,31-08-2019,,392,Debit
1246,Huff-Blackwell,large,Enterprise,Churned,09-10-2023,17-12-2024,873,Credit
8080,Jones and Sons,medium,Pro,Churned,18-11-2021,19-07-2025,2213,Credit
5569,"Norton, Sanders and Arnold",large,Pro,Churned,08-08-2010,28-10-2012,1804,Paypal
3623,"Alvarez, Hodges and Harper",large,Enterprise,Active,21-01-2014,,4802,Paypal
2159,"Gill, Levine and Green",small,Basic,Active,15-12-2008,,4629,Paypal
5881,"Obrien, Smith and Turner",small,Pro,Churned,08-06-2023,16-08-2025,2130,Paypal
8568,Preston PLC,medium,Basic,Churned,03-05-2025,22-06-2025,574,Paypal
1489,"Scott, Martinez and Fuller",medium,Enterprise,Churned,06-07-2025,06-11-2025,3709,Debit
2713,"Leach, Garcia and Lambert",large,Pro,Active,02-01-2008,,1652,Paypal
2330,Mcdonald-Vargas,small,Pro,Churned,22-05-2018,26-01-2021,2570,Paypal
7173,"Alexander, Brown and Jackson",medium,Pro,Active,30-08-2020,,4653,Debit
9755,Ramirez LLC,medium,Basic,Active,20-03-2019,,733,Paypal
6199,"Dominguez, Reid and Perez",large,Pro,Churned,30-03-2012,02-08-2023,1316,Credit
5801,"Smith, Cole and Mullen",medium,Basic,Churned,01-11-2023,27-06-2024,75,Paypal
5515,"Mcintosh, Martinez and Lloyd",medium,Enterprise,Active,31-01-2017,,2026,Paypal
5840,Clark LLC,large,Basic,Churned,30-11-2008,02-10-2015,4792,Paypal
8794,Moore Inc,small,Enterprise,Churned,15-05-2023,15-03-2024,108,Credit
6771,Miller LLC,medium,Pro,Churned,27-03-2006,05-05-2022,3939,Debit
1206,Huynh-Perry,large,Basic,Active,20-10-2019,,3429,Paypal
2296,Weiss-Walker,large,Enterprise,Churned,29-11-2008,04-10-2014,827,Paypal
8762,Rivera Inc,small,Pro,Churned,18-06-2017,30-05-2019,2986,Debit
4912,Miller-Warner,medium,Enterprise,Active,26-09-2009,,3649,Credit
494,Andrade-Hill,small,Enterprise,Active,24-04-2024,,4484,Debit
9368,Ayala-Werner,medium,Basic,Active,29-01-2016,,897,Paypal
6956,Rodriguez-Ryan,small,Pro,Churned,21-01-2013,20-10-2022,2180,Debit
479,"Mcclure, Kemp and Sweeney",large,Basic,Active,14-01-2014,,3503,Paypal
2087,Daniel PLC,small,Basic,Active,23-08-2018,,4505,Debit
1838,"Anderson, Bauer and Perez",medium,Enterprise,Churned,08-05-2019,14-10-2019,3455,Paypal
6770,"Harvey, Grant and Ward",medium,Pro,Churned,16-05-2023,17-11-2024,2243,Credit
509,Bailey and Sons,medium,Enterprise,Churned,14-11-2018,20-12-2023,1536,Debit
3313,"Webb, Bates and Taylor",small,Enterprise,Churned,31-01-2009,23-01-2012,3896,Debit
8905,Carson LLC,small,Pro,Active,03-08-2013,,4795,Credit
3674,Potter Inc,small,Basic,Churned,02-02-2017,27-03-2024,2421,Paypal
6023,Richard-Bryant,medium,Basic,Active,10-01-2019,,3093,Debit
2329,Rice-Brooks,large,Basic,Active,15-11-2015,,3620,Debit
7795,Sexton Ltd,large,Pro,Active,11-08-2007,,1622,Debit
5922,Gibson and Sons,large,Pro,Churned,16-01-2009,21-06-2012,593,Debit
1902,Day-Suarez,medium,Enterprise,Churned,01-09-2009,09-05-2024,3336,Credit
6495,Baker Inc,small,Basic,Active,07-04-2008,,3274,Credit
5940,Moore LLC,medium,Basic,Churned,15-01-2019,05-05-2024,4252,Debit
4549,Nguyen-Smith,large,Pro,Active,06-08-2010,,3339,Credit
6428,"Rogers, Miller and Medina",large,Basic,Active,29-05-2015,,4844,Paypal
1250,Phillips-Stanley,medium,Basic,Churned,24-02-2006,18-09-2023,4825,Credit
5290,"Frank, Lynn and Franklin",large,Pro,Active,02-03-2012,,2562,Paypal
566,Perez-Scott,medium,Enterprise,Churned,08-02-2009,02-09-2023,584,Credit
9454,Rogers-Luna,small,Pro,Churned,01-04-2011,20-03-2016,3296,Credit
2045,"Foster, Simpson and Hart",large,Enterprise,Active,02-12-2023,,2584,Debit
4159,Mccormick PLC,small,Pro,Active,17-01-2008,,2560,Paypal
5332,Swanson Group,large,Basic,Churned,12-02-2024,27-02-2024,3762,Credit
8689,Salinas-Turner,small,Pro,Churned,25-07-2017,13-07-2020,811,Credit
7731,Garner Ltd,large,Pro,Active,05-08-2024,,4876,Credit
8686,Dominguez-Jones,medium,Pro,Active,01-10-2017,,2073,Credit
