ticket_id,user_id,created_date,resolved_date,priority,category,status,resolution_time_hours
9715,3016,13-08-2011,,Low,Account Issue,Open,
8521,1804,13-06-2010,,Medium,Account Issue,Open,
5332,1154,05-07-2007,04-01-2011,Medium,Bug,Closed,30696
6052,8941,08-12-2011,18-09-2014,Critical,Question,Resolved,24360
4070,1565,10-12-2015,,Low,Feature Request,In Progress,
6879,2068,03-02-2007,09-11-2010,Critical,Account Issue,Closed,33000
7267,3726,27-09-2006,09-04-2025,Critical,Bug,Closed,162456
4968,1659,31-12-2014,06-02-2022,Medium,Question,Resolved,62256
3697,1199,13-02-2007,,Low,Account Issue,Open,
3880,2574,28-08-2015,,Medium,Feature Request,In Progress,
8203,5141,28-01-2018,,Critical,Question,Open,
7640,7053,12-08-2025,,Critical,Account Issue,Open,
624,6953,22-03-2013,22-08-2014,Medium,Feature Request,Resolved,12432
8145,3987,30-08-2021,23-05-2023,Critical,Feature Request,Resolved,15144
6359,1641,27-10-2014,20-12-2022,Critical,Account Issue,Closed,71424
3579,204,30-12-2019,,High,Feature Request,Open,
7413,2152,22-01-2013,28-10-2014,Medium,Bug,Resolved,15456
1111,3350,26-09-2019,,High,Feature Request,In Progress,
9718,6089,25-08-2019,24-01-2024,Low,Bug,Resolved,38712
3233,9636,19-07-2021,,High,Question,Open,
6297,9180,21-08-2010,17-02-2014,Low,Bug,Resolved,30624
7901,8104,27-06-2016,,Critical,Feature Request,Open,
5136,5458,16-11-2010,,Critical,Question,Open,
788,7221,01-12-2016,,Medium,Question,Open,
9683,9922,22-05-2018,24-05-2022,Medium,Bug,Closed,35112
3941,1802,10-06-2018,,Critical,Feature Request,Open,
8092,2718,13-09-2019,,Low,Bug,Open,
5018,4440,01-08-2011,27-01-2018,Critical,Feature Request,Resolved,56904
1191,3638,23-03-2007,,High,Bug,Open,
4249,5067,12-12-2017,28-10-2022,Low,Account Issue,Closed,42744
9479,4392,30-12-2012,,Low,Bug,In Progress,
7977,1539,04-04-2023,24-01-2025,Low,Question,Resolved,15864
7422,8779,25-11-2012,19-02-2024,High,Feature Request,Resolved,98472
2625,5531,30-12-2006,08-04-2012,Medium,Question,Resolved,46224
6032,828,06-06-2017,12-04-2022,Critical,Account Issue,Resolved,42504
887,2557,06-10-2010,,Low,Account Issue,In Progress,
8421,9593,26-09-2022,,Critical,Question,Open,
6216,1811,21-01-2011,11-11-2023,Critical,Bug,Resolved,112248
7223,6594,15-04-2021,04-04-2024,Critical,Account Issue,Closed,26040
7333,7885,29-07-2022,10-03-2024,Medium,Account Issue,Resolved,14160
1290,8884,29-02-2008,,High,Feature Request,In Progress,
819,867,24-11-2023,21-07-2024,Medium,Bug,Resolved,5760
7867,8282,30-04-2019,,Critical,Feature Request,In Progress,
7846,6505,13-11-2024,,Low,Feature Request,In Progress,
1658,5104,28-05-2008,28-11-2024,Medium,Bug,Resolved,144672
3418,6500,18-08-2014,14-08-2015,Critical,Account Issue,Resolved,8664
2176,6728,05-11-2018,27-10-2021,Medium,Feature Request,Closed,26088
123,3038,01-11-2007,,High,Feature Request,Open,
1881,9865,11-10-2008,10-09-2021,Low,Bug,Closed,113208
1879,8927,15-06-2021,09-10-2023,Medium,Account Issue,Resolved,20304
1878,7480,30-12-2015,,Medium,Account Issue,Open,
5553,9072,05-11-2011,10-05-2014,Low,Question,Closed,22008
6144,8631,02-03-2012,,Critical,Question,In Progress,
8001,3086,29-10-2019,,Critical,Account Issue,In Progress,
8453,1961,12-06-2019,06-02-2020,Medium,Bug,Closed,5736
4562,1275,21-07-2015,28-07-2024,Critical,Bug,Resolved,79080
6272,721,11-09-2017,,Medium,Bug,Open,
3440,568,07-06-2025,12-06-2025,Medium,Account Issue,Closed,120
3954,8985,20-04-2014,,Medium,Bug,In Progress,
3345,5202,29-09-2021,08-06-2023,High,Bug,Resolved,14808
8038,7887,26-02-2024,01-12-2025,High,Feature Request,Resolved,15456
7840,9705,24-01-2015,,Critical,Bug,Open,
996,2837,07-09-2023,,Low,Account Issue,In Progress,
9975,4805,25-08-2018,23-05-2020,Low,Feature Request,Resolved,15288
6315,8385,19-01-2014,,High,Question,Open,
3061,698,03-01-2020,,High,Question,In Progress,
3724,5363,10-07-2019,,High,Bug,Open,
3689,9078,19-10-2017,,Medium,Bug,Open,
5249,7514,17-08-2018,,Critical,Account Issue,Open,
8806,2575,25-12-2025,31-01-2026,Critical,Account Issue,Closed,888
6588,2576,23-03-2020,19-07-2023,Medium,Question,Resolved,29112
2251,8868,07-08-2018,26-01-2025,Low,Question,Closed,56736
1634,2699,06-10-2012,02-04-2017,Critical,Bug,Resolved,39336
3228,544,24-09-2023,03-10-2023,Critical,Question,Closed,216
8582,9766,16-05-2018,11-10-2025,Critical,Bug,Resolved,64920
7488,5759,17-11-2015,,Critical,Question,Open,
636,7270,13-12-2006,,Low,Bug,In Progress,
760,3491,09-05-2016,,Critical,Account Issue,In Progress,
1556,9852,29-08-2015,08-01-2018,High,Bug,Closed,20712
8546,2714,15-01-2010,,Low,Account Issue,Open,
6681,9356,27-08-2006,23-01-2009,High,Question,Resolved,21120
1521,9695,27-07-2024,12-04-2025,Medium,Account Issue,Closed,6216
8347,6939,31-08-2016,10-09-2021,High,Feature Request,Closed,44064
5888,3291,09-02-2015,,Critical,Feature Request,In Progress,
3068,9677,25-05-2017,17-09-2025,Critical,Account Issue,Closed,72888
6858,2380,20-11-2020,,Critical,Account Issue,In Progress,
654,8593,01-04-2008,,Low,Account Issue,Open,
3656,7392,16-05-2025,21-09-2025,Critical,Feature Request,Resolved,3072
6291,9335,06-03-2022,,Medium,Question,Open,
6336,1783,08-07-2013,25-09-2017,Critical,Account Issue,Closed,36960
782,3344,17-07-2012,31-08-2016,Low,Feature Request,Closed,36144
3905,814,16-05-2025,06-07-2025,Critical,Account Issue,Closed,1224
1012,3028,04-07-2019,01-03-2024,Medium,Feature Request,Closed,40848
3594,9423,04-12-2010,31-01-2014,Medium,Question,Resolved,27696
1884,5394,04-08-2009,,High,Account Issue,Open,
8048,713,12-06-2011,09-08-2013,High,Feature Request,Closed,18936
5238,2619,16-02-2008,,High,Question,In Progress,
9475,9311,13-12-2022,,Low,Question,Open,
9950,2555,16-07-2025,,High,Bug,In Progress,
6589,9498,19-06-2025,24-10-2025,Low,Feature Request,Resolved,3048
6343,3820,05-05-2014,,Critical,Question,Open,
392,9849,06-08-2015,,High,Bug,In Progress,
2831,2274,17-12-2014,,Critical,Question,Open,
827,3583,04-05-2016,,High,Feature Request,Open,
2568,8028,27-06-2022,,High,Bug,Open,
4869,9686,17-04-2023,,Medium,Question,Open,
994,2947,16-12-2010,,High,Account Issue,Open,
1640,9582,30-08-2006,29-05-2008,Critical,Bug,Resolved,15312
6008,393,02-08-2016,,Critical,Bug,Open,
8388,7445,22-07-2013,19-01-2022,High,Account Issue,Closed,74472
1354,8965,28-05-2020,,High,Feature Request,Open,
2862,2876,22-03-2008,14-01-2023,Critical,Account Issue,Resolved,129864
2734,3219,12-10-2009,,High,Question,In Progress,
3543,1992,03-08-2021,,Low,Bug,Open,
1986,9787,07-01-2009,,High,Bug,In Progress,
9682,687,25-03-2025,23-04-2025,Medium,Feature Request,Resolved,696
544,3660,28-10-2023,,Low,Question,Open,
6393,3093,13-05-2021,,Medium,Question,Open,
3410,6671,19-02-2016,,Critical,Account Issue,Open,
1361,8752,06-12-2014,09-01-2019,Low,Bug,Resolved,35880
4044,3673,11-02-2022,09-05-2024,Low,Bug,Closed,19632
3168,1384,28-03-2015,17-09-2016,High,Bug,Closed,12936
8015,4226,21-06-2008,21-01-2011,High,Question,Closed,22656
1520,6471,02-11-2021,14-08-2023,Critical,Bug,Closed,15600
6492,1011,07-10-2023,21-10-2024,Low,Bug,Resolved,9120
578,9877,15-04-2006,,Low,Account Issue,In Progress,
9707,2233,13-09-2024,,High,Feature Request,In Progress,
3933,1838,13-03-2019,24-03-2025,Critical,Account Issue,Resolved,52872
9082,4445,22-08-2021,22-10-2023,Critical,Account Issue,Closed,18984
2806,9570,23-07-2024,26-08-2025,Medium,Feature Request,Closed,9576
4531,735,20-03-2010,28-11-2019,High,Bug,Closed,84960
2376,5818,05-04-2023,03-10-2023,Low,Bug,Resolved,4344
3770,8495,11-05-2022,07-10-2022,Medium,Question,Closed,3576
138,7622,05-10-2012,,High,Feature Request,Open,
3745,9041,20-04-2020,31-07-2020,Critical,Question,Resolved,2448
5349,5094,07-12-2024,,Critical,Account Issue,In Progress,
3123,4081,28-04-2011,,Critical,Question,Open,
1116,4642,21-10-2009,,Low,Feature Request,Open,
2494,4204,24-12-2023,02-05-2025,Low,Question,Resolved,11880
8945,651,10-04-2006,,High,Bug,Open,
5322,6109,11-09-2021,18-12-2025,Low,Bug,Resolved,37416
6686,3487,14-12-2008,,High,Account Issue,In Progress,
3936,563,28-08-2015,07-01-2020,Critical,Bug,Resolved,38232
6836,3130,17-01-2018,07-02-2019,High,Account Issue,Resolved,9264
2618,7604,02-05-2017,,Medium,Account Issue,Open,
6108,1134,01-04-2019,17-07-2024,Low,Bug,Closed,46416
8679,993,14-06-2021,31-05-2024,Critical,Question,Closed,25968
5733,4401,27-11-2010,25-08-2013,Critical,Feature Request,Closed,24048
3490,5804,31-07-2025,06-09-2025,Low,Feature Request,Resolved,888
4975,7409,12-03-2007,17-11-2020,Low,Question,Resolved,119976
4419,4620,18-01-2014,25-10-2020,Critical,Bug,Closed,59328
4446,6618,26-10-2010,03-02-2014,Medium,Bug,Resolved,28704
7127,5186,17-01-2023,,High,Feature Request,Open,
5448,1644,03-11-2007,,Medium,Feature Request,Open,
5624,1603,05-10-2021,27-08-2025,High,Feature Request,Resolved,34128
9882,7102,07-11-2012,16-11-2023,Low,Question,Closed,96624
647,9164,22-08-2023,,Critical,Feature Request,Open,
7748,8310,11-04-2018,,Medium,Feature Request,Open,
4426,1988,01-01-2015,,High,Question,In Progress,
4933,2261,20-04-2010,,Low,Account Issue,In Progress,
9601,6476,30-10-2006,,High,Account Issue,Open,
2647,9286,13-09-2016,11-01-2023,Low,Account Issue,Resolved,55464
525,7899,12-05-2025,,High,Feature Request,In Progress,
6151,9287,13-12-2021,,Low,Question,In Progress,
3358,5777,25-04-2024,,Critical,Feature Request,Open,
560,7849,01-12-2009,02-03-2021,High,Account Issue,Resolved,98616
6045,2662,06-08-2015,,Medium,Bug,In Progress,
1241,7778,21-12-2009,,Low,Bug,Open,
5797,2331,24-03-2024,,High,Feature Request,In Progress,
2214,145,09-02-2017,,Critical,Question,In Progress,
776,1898,15-03-2018,24-10-2020,Critical,Question,Closed,22896
2664,1767,08-08-2011,19-08-2018,Low,Question,Closed,61632
1171,23,07-12-2008,,Critical,Feature Request,Open,
8947,8341,21-05-2014,,High,Feature Request,In Progress,
2599,1624,07-01-2023,,Medium,Feature Request,In Progress,
3284,7459,16-06-2021,,High,Account Issue,In Progress,
3993,6253,01-06-2007,08-09-2010,High,Account Issue,Closed,28680
7730,4125,15-05-2023,,Medium,Account Issue,In Progress,
9593,8108,29-06-2020,06-05-2025,Low,Bug,Closed,42528
71,5237,02-12-2012,,High,Question,In Progress,
1110,3822,02-11-2010,01-10-2016,High,Feature Request,Resolved,51840
7381,1033,17-04-2020,04-01-2021,Critical,Question,Resolved,6288
7712,8650,13-11-2019,27-04-2024,Medium,Bug,Resolved,39048
9594,8085,31-10-2021,17-06-2025,High,Bug,Resolved,31800
9806,206,30-10-2017,,Medium,Feature Request,Open,
4168,8574,15-11-2014,28-01-2024,Critical,Account Issue,Resolved,80664
2088,3406,01-09-2020,,High,Bug,In Progress,
6368,963,13-09-2014,,Medium,Question,In Progress,
1823,7880,09-12-2024,23-11-2025,Medium,Bug,Resolved,8376
8848,567,15-08-2024,,Medium,Feature Request,Open,
3223,6810,22-02-2024,17-03-2025,Low,Account Issue,Resolved,9336
6721,7587,10-11-2020,25-01-2023,Medium,Question,Closed,19344
6537,7000,08-04-2025,19-08-2025,Medium,Question,Resolved,3192
9604,3918,08-12-2009,06-08-2015,Critical,Bug,Closed,49608
7447,1862,27-12-2020,24-02-2024,Critical,Bug,Closed,27696
6734,1796,15-12-2016,19-05-2017,Critical,Question,Closed,3720
9604,1557,23-06-2023,,Critical,Bug,In Progress,
5612,4091,25-01-2013,,High,Account Issue,In Progress,
8049,9220,15-03-2017,,High,Feature Request,In Progress,
6241,2515,11-06-2011,,Medium,Question,In Progress,
8748,2635,27-05-2014,,Low,Account Issue,In Progress,
1438,1467,29-02-2020,,Low,Feature Request,In Progress,
5040,5359,03-11-2022,29-12-2025,Medium,Account Issue,Resolved,27648
7788,2131,04-11-2006,02-04-2016,Medium,Bug,Closed,82488
9862,2827,02-10-2024,14-10-2024,Medium,Question,Resolved,288
4263,7716,03-07-2017,,Low,Account Issue,In Progress,
7933,8374,11-12-2022,,Low,Account Issue,In Progress,
3188,9479,27-08-2022,,Low,Bug,In Progress,
4996,2736,27-10-2013,,Low,Question,Open,
1445,4543,31-10-2011,,Medium,Bug,In Progress,
510,170,06-05-2020,15-12-2024,Critical,Bug,Closed,40416
8774,8256,02-09-2019,,High,Feature Request,Open,
8909,7877,08-05-2014,,High,Account Issue,Open,
397,7242,27-10-2021,,Critical,Question,In Progress,
3255,1226,26-03-2021,02-01-2022,Low,Question,Closed,6768
7281,2754,20-01-2025,13-10-2025,Low,Account Issue,Closed,6384
4075,1239,24-08-2023,05-02-2026,High,Bug,Resolved,21504
3378,5533,02-08-2007,,Medium,Question,In Progress,
605,3813,01-06-2023,,High,Account Issue,Open,
2225,9850,16-12-2025,22-12-2025,Critical,Account Issue,Resolved,144
9307,9498,25-12-2012,,Critical,Bug,In Progress,
2150,5432,05-06-2010,,Low,Feature Request,Open,
1738,809,23-06-2006,,Low,Feature Request,In Progress,
8675,6354,06-07-2017,10-02-2026,High,Bug,Resolved,75384
9794,1960,07-11-2015,,Critical,Question,Open,
4585,2043,13-03-2012,,Critical,Feature Request,Open,
3848,4024,07-07-2023,14-07-2023,High,Bug,Closed,168
1435,5492,13-09-2007,,Low,Bug,Open,
5971,4208,17-03-2012,,Medium,Feature Request,In Progress,
9523,262,06-01-2017,13-07-2022,Medium,Feature Request,Resolved,48336
2549,1341,19-09-2019,15-02-2025,Critical,Feature Request,Resolved,47424
6429,6690,10-06-2016,07-02-2024,High,Account Issue,Resolved,67152
9515,5119,11-11-2019,,High,Account Issue,In Progress,
4298,2266,08-02-2022,,High,Account Issue,In Progress,
7330,8345,05-08-2014,09-08-2021,Low,Question,Resolved,61464
5816,9309,11-09-2008,,Medium,Feature Request,In Progress,
8619,2111,09-08-2010,,Medium,Feature Request,In Progress,
6964,6348,10-02-2018,15-04-2025,Medium,Account Issue,Closed,62904
6824,2188,19-09-2009,15-02-2013,Low,Bug,Closed,29880
227,1807,30-05-2018,,Critical,Question,In Progress,
5434,8151,30-07-2008,15-11-2020,Low,Feature Request,Closed,107784
1133,7568,14-02-2010,06-04-2011,Low,Question,Closed,9984
9179,9965,08-05-2007,20-04-2013,High,Bug,Closed,52176
6933,8347,02-02-2014,04-07-2017,Low,Feature Request,Resolved,29952
2110,5215,23-12-2015,,High,Bug,Open,
3542,2834,05-11-2010,,High,Feature Request,Open,
4173,9596,24-08-2006,13-04-2023,High,Bug,Resolved,145824
9195,6861,13-12-2013,,Medium,Question,Open,
4259,5539,17-02-2011,,Low,Feature Request,In Progress,
1047,7626,13-02-2022,16-03-2025,Critical,Bug,Resolved,27048
7159,2475,17-08-2012,29-04-2024,Medium,Question,Closed,102552
9134,3894,16-09-2023,,Critical,Bug,Open,
631,4582,23-12-2024,,Medium,Feature Request,In Progress,
4748,2840,06-09-2007,,High,Bug,In Progress,
107,1625,11-03-2018,,Medium,Account Issue,Open,
2989,4817,16-04-2023,07-09-2025,Medium,Bug,Closed,21000
684,7071,19-08-2012,04-04-2020,Medium,Feature Request,Closed,66840
9150,2376,26-04-2025,,Medium,Question,Open,
9583,1737,25-08-2019,11-07-2022,Critical,Account Issue,Closed,25224
4431,8178,02-05-2022,,Medium,Feature Request,In Progress,
929,1646,25-09-2019,,Critical,Feature Request,In Progress,
4652,1305,04-02-2025,,Low,Bug,In Progress,
985,8834,13-10-2017,,Medium,Bug,Open,
5297,6320,01-07-2006,,Medium,Feature Request,Open,
7899,7816,30-09-2007,,Low,Account Issue,In Progress,
4717,2731,30-12-2023,,Critical,Question,In Progress,
4441,7147,30-12-2016,,High,Question,In Progress,
2287,1646,09-09-2008,,Critical,Account Issue,Open,
6891,8821,26-02-2014,,Medium,Account Issue,Open,
7563,6473,12-05-2009,,Low,Feature Request,Open,
5423,4278,20-06-2021,,High,Bug,Open,
1324,5190,16-09-2019,14-04-2023,High,Bug,Resolved,31344
9758,2274,26-01-2011,21-01-2016,Critical,Bug,Closed,43704
3263,4033,04-07-2017,,High,Account Issue,In Progress,
4123,8175,11-06-2011,25-12-2015,Critical,Account Issue,Resolved,39792
5157,5295,07-06-2016,16-10-2016,Low,Feature Request,Resolved,3144
3256,5632,09-02-2024,,Medium,Feature Request,In Progress,
8563,3644,04-07-2011,,Low,Feature Request,Open,
272,8664,28-02-2013,25-05-2023,High,Question,Resolved,89712
352,874,29-04-2011,,Low,Feature Request,Open,
5721,7623,02-07-2016,,Low,Feature Request,Open,
2780,5378,03-08-2021,,Medium,Account Issue,Open,
3091,3748,14-04-2020,,High,Feature Request,Open,
8434,5749,14-07-2006,14-01-2013,Medium,Feature Request,Resolved,57024
8547,6903,01-04-2008,24-08-2008,Medium,Feature Request,Resolved,3480
5887,2322,01-05-2018,,Medium,Bug,Open,
7948,8295,20-07-2024,04-03-2025,Critical,Account Issue,Resolved,5448
101,1894,01-09-2019,,Low,Question,Open,
7483,9105,08-10-2022,09-12-2024,High,Bug,Closed,19032
1576,7058,27-09-2023,,Critical,Feature Request,In Progress,
8924,2625,04-07-2010,,High,Feature Request,Open,
6141,318,07-11-2016,08-11-2019,Critical,Feature Request,Closed,26304
4366,7733,05-07-2012,17-09-2018,Critical,Bug,Closed,54360
1493,9959,30-12-2012,,High,Feature Request,In Progress,
8417,8261,30-11-2007,,Low,Bug,Open,
1800,5341,13-05-2014,04-12-2023,High,Question,Closed,83808
7691,1733,09-04-2007,24-11-2012,Low,Question,Closed,49344
653,2118,26-08-2025,18-09-2025,Critical,Question,Closed,552
3366,5690,07-09-2010,,Critical,Question,Open,
5517,5850,01-06-2023,,Low,Question,Open,
541,6874,03-08-2022,,Medium,Account Issue,Open,
7527,8521,27-12-2010,,Medium,Question,Open,
9935,1492,03-07-2017,16-12-2024,Low,Question,Closed,65352
2851,2210,01-10-2015,,High,Feature Request,In Progress,
5387,1371,15-04-2010,,Medium,Account Issue,In Progress,
6990,2441,25-02-2006,,High,Feature Request,Open,
2370,2051,05-11-2017,,Medium,Question,Open,
7867,2388,10-11-2011,06-12-2018,Low,Bug,Closed,61992
7741,7308,13-03-2010,,Critical,Account Issue,Open,
4257,178,08-10-2006,,Medium,Question,In Progress,
1802,4456,11-02-2013,07-05-2024,High,Account Issue,Resolved,98472
4106,6419,19-06-2010,01-12-2018,Medium,Account Issue,Closed,74088
8842,6865,20-07-2013,,Critical,Feature Request,Open,
9643,3533,20-02-2021,20-04-2022,Low,Feature Request,Resolved,10176
7952,8760,12-05-2017,13-04-2024,High,Feature Request,Closed,60672
5523,2904,26-03-2008,,Medium,Bug,Open,
2479,2819,11-07-2025,08-01-2026,Low,Bug,Closed,4344
3880,9965,07-08-2012,,Medium,Bug,Open,
9492,8602,23-11-2009,16-04-2017,Medium,Question,Closed,64824
5104,3176,16-07-2020,04-01-2021,Low,Account Issue,Closed,4128
5477,2210,03-11-2013,,Medium,Account Issue,In Progress,
6064,335,20-02-2022,26-01-2024,High,Bug,Closed,16920
8963,3658,02-06-2006,,Medium,Account Issue,Open,
65,8516,24-11-2017,08-01-2020,High,Bug,Closed,18600
4638,4629,24-04-2009,25-06-2016,High,Bug,Resolved,62856
4282,4116,05-01-2019,13-05-2024,High,Feature Request,Closed,46920
2565,6228,09-09-2008,,Critical,Question,Open,
1166,8842,25-11-2010,,Medium,Bug,In Progress,
2813,9800,09-08-2013,13-02-2016,Medium,Bug,Closed,22032
6990,9299,25-12-2011,,Low,Question,In Progress,
9251,2729,25-12-2018,,High,Feature Request,In Progress,
1067,9498,17-07-2009,,High,Account Issue,In Progress,
5431,3067,30-03-2010,,Medium,Feature Request,Open,
1513,4418,21-05-2009,,High,Bug,In Progress,
3919,2973,01-11-2023,,Medium,Account Issue,Open,
9722,7459,19-07-2012,,Critical,Account Issue,Open,
4682,7983,20-07-2023,,High,Question,Open,
2678,2911,22-12-2019,11-12-2020,Medium,Account Issue,Closed,8520
65,9700,21-11-2020,,Critical,Account Issue,In Progress,
7784,5188,07-09-2015,19-05-2019,Low,Feature Request,Resolved,32400
8667,9574,26-01-2019,,Low,Question,In Progress,
